Sound Logic BOM,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Item #,Reference Designator,Qty,Manufacturer,Mfg Part #,Description / Value,Package/Footprint ,Type,Instructions / Notes,
1,C6,1,Vishay,K102K15X7RH5TL2,1000 pF ±10% 100V Ceramic Capacitor X7R Radial,2.5mm Pitch,THRU-HOLE, , 
2,C7,1,Vishay,K103K15X7RF5UL2,10000 pF ±10% 50V Ceramic Capacitor X7R Radial,2.5mm Pitch,THRU-HOLE,,
3,C5,1,TDK,FG28X7R1H473KNT06,0.047 µF ±10% 50V Ceramic Capacitor X7R Radial,5mm Pitch,THRU-HOLE,,
4,C8 C9 C10 C11,4,KEMET,C320C104K5R5TA7317,0.1 µF ±10% 50V Ceramic Capacitor X7R Radial,2.5mm Pitch,THRU-HOLE,,
5,C12 C13 C14 C15 C16 C17,6,Vishay,K104K15X7RF5TH5,0.1 µF ±10% 50V Ceramic Capacitor X7R Radial,5mm Pitch,THRU-HOLE,,
6,C1 C2 C3 C4 C18,5,Panasonic,ECA-1CM100I,10 µF 16 V Aluminum Electrolytic Capacitor Radial,2.5mm Pitch,THRU-HOLE,,
7,D1,1,Harvatek,B1911PG--20D000514U1930,Green 562nm LED Indication - Discrete 2V 0603 (1608 Metric),0603,SMD, , 
8,J54,1,Sullins Connector Solutions,PREC002SAAN-RC,"Connector Header Through Hole 2 position 0.100""",2POS,THRU-HOLE,,
9,J1 J2 J4 J5 J8 J9 J11 J12 J13 J14 J16 J17 J18 J19 J20 J21 J22 J23 J27 J28 J31 J32 J35 J36 J39 J40 J41 J42 J45 J46 J47 J48 J49 J50 J51 J52,36,Sullins Connector Solutions,PREC003SAAN-RC,"Connector Header Through Hole 3 position 0.100""",3POS,THRU-HOLE,,
10,J3 J6 J7 J15 J24 J25 J26 J29 J30 J34 J37 J38 J43 J44,14,Sullins Connector Solutions,PREC003SAAN-RC,"Connector Header Through Hole 3 position 0.100""",3POS,THRU-HOLE,,
11,J33,1,Sullins Connector Solutions,PREC012SAAN-RC,"Connector Header Through Hole 12 position 0.100""",12POS,THRU-HOLE,,
12,J10 J53,2,"	
Phoenix Contact",1729128,TERM BLK 2P SIDE ENT 5.08MM PCB,2POS,THRU-HOLE,,
13,R11,1,Panasonic,ERJ-6GEYJ100V,RES SMD 10 OHM 5% 1/8W 0805,0805,SMD, , 
14,R3 R21 R28 R44 R52 R64,6,Panasonic,ERJ-6GEYJ102V,RES SMD 1K OHM 5% 1/8W 0805,0805,SMD,,
15,R1 R2 R10 R12 R13 R14 R19 R20 R27 R30 R31 R32 R33 R34 R35 R36 R42 R43 R46 R47 R48 R49 R50 R51 R58 R59,26,Panasonic,ERJ-6GEYJ103V,RES SMD 10K OHM 5% 1/8W 0805,0805,SMD,,
16,R9,1,ALPSALPINE,RK097111080R,10kΩ ±20% 1/20W Potentiometer,2.5mm Pitch,THRU-HOLE,,
17,R22 R29 R45 R53,4,ALPSALPINE,RK097111091H,100kΩ ±20% 50mW Potentiometer,2.5mm Pitch,THRU-HOLE,,
18,R4 R5 R6 R7 R15 R16 R17 R18 R23 R24 R25 R26 R37 R38 R39 R40 R41 R54 R55 R56 R57 R60 R61 R62 R63,25,Panasonic,ERJ-6GEYJ394V,390K,0805,SMD,,
19,R8,1,TT Electronics/BI,P160KN-0QD15B1MEG,POT 1M OHM 1/5W PLASTIC LINEAR,5mm Pitch,THRU-HOLE,2 extra inner pins on footprint are not used,
20,SW1,1,Nidec Copal Electronics,CL-SB-22C-01,SWITCH SLIDE DPDT 200MA 12V,"2.5mm Pitch, 3.3mm Row Spacing",THRU-HOLE,,
21,U5,1,Texas Instruments,CD74HC4040E,Counters / Dividers 4040  ,PDIP-16,THRU-HOLE,,
22,U3,1,Texas Instruments,"	
SA555DR",IC OSC SGL TIMER 100KHZ 8-SOIC,SOIC-8,SMD,,
23,U1 U4 U6,3,Texas Instruments,CD74HC132E,IC Quad 2−Input NAND Gate with Schmitt−Trigger Inputs,PDIP-14,THRU-HOLE,,
24,U2,1,Texas Instruments,LM386MX-1/NOPB,IC AMP CLASS AB MONO 325MW 8SOIC,SOIC-8,SMD,,